date,cases,deaths
2020-07-02,7914,2144
2020-07-03,7965,2159
2020-07-04,7999,2169
2020-07-05,8051,2184
2020-07-06,8158,2240
2020-07-07,8271,2277
2020-07-08,8356,2303
2020-07-09,8413,2317
2020-07-10,8494,2349
2020-07-11,8525,2363
2020-07-12,8566,2378
2020-07-13,8615,2385
2020-07-14,8648,2394
2020-07-15,8715,2409
2020-07-16,8761,2432
2020-07-17,8812,2451
2020-07-18,8831,2461
2020-07-19,8861,2468
2020-07-20,8881,2472
2020-07-21,8935,2489
2020-07-22,8971,2497
2020-07-23,8979,2501
2020-07-24,9084,2509
2020-07-25,9112,2516
2020-07-26,9135,2524
2020-07-27,9144,2533
2020-07-28,9164,2535
2020-07-29,9204,2545
2020-07-30,9260,2566
2020-07-31,9285,2569
2020-08-01,9315,2572
2020-08-02,9354,2577
2020-08-03,9406,2582
2020-08-04,9442,2596
2020-08-05,9483,2607
2020-08-06,9499,2611
2020-08-07,9538,2624
2020-08-08,9549,2628
2020-08-09,9562,2629
2020-08-10,9579,2634
2020-08-11,9626,2636
2020-08-12,9673,2637
2020-08-13,9726,2643
2020-08-14,9778,2649
2020-08-15,9786,2650
2020-08-16,9800,2651
2020-08-17,9807,2651
2020-08-18,9834,2655
2020-08-19,9861,2662
2020-08-20,9890,2666
2020-08-21,9931,2675
2020-08-22,9980,2678
2020-08-23,10011,2681
2020-08-24,10021,2683
2020-08-25,10042,2689
2020-08-26,10060,2691
2020-08-27,10111,2697
2020-08-28,10122,2703
2020-08-29,10125,2704
2020-08-30,10135,2705
2020-08-31,10167,2706
2020-09-01,10179,2707
2020-09-02,10205,2710
2020-09-03,10215,2710
2020-09-04,10232,2713
2020-09-05,10236,2714
2020-09-06,10247,2714
2020-09-07,10255,2715
2020-09-08,10269,2715
2020-09-09,10280,2717
2020-09-10,10294,2726
2020-09-11,10295,2726
2020-09-12,10314,2726
2020-09-13,10327,2726
2020-09-15,10341,2726
2020-09-16,10367,2731
2020-09-17,10404,2737
2020-09-18,10408,2737
2020-09-19,10411,2738
2020-09-20,10418,2739
2020-09-21,10420,2741
2020-09-22,10427,2743
2020-09-23,10448,2746
2020-09-24,10456,2747
2020-09-25,10470,2751
2020-09-26,10471,2751
2020-09-27,10490,2752
2020-09-28,10494,2753
2020-09-29,10548,2753
2020-09-30,10559,2755
2020-10-01,10566,2755
2020-10-02,10583,2757
2020-10-03,10616,2762
2020-10-04,10640,2764
2020-10-06,10640,2764
2020-10-07,10691,2770
2020-10-08,10785,2773
2020-10-10,10792,2776
2020-10-11,10828,2780
2020-10-12,10833,2781
2020-10-13,10833,2781
2020-10-14,10844,2782
2020-10-15,10847,2782
2020-10-16,10851,2782
2020-10-19,10853,2782
2020-10-20,10868,2782
2020-10-21,10921,2782
2020-10-23,10923,2782
2020-10-27,10926,2782
2020-10-28,10973,2783
2020-10-29,10999,2786
2020-10-30,11001,2786
2020-10-31,11003,2786
2020-11-02,11010,2788
2020-11-03,11014,2788
2020-11-04,11024,2788
2020-11-05,11053,2788
2020-11-06,11061,2788
2020-11-08,11068,2788
2020-11-09,11088,2788
2020-11-10,11105,2791
2020-11-11,11141,2791
2020-11-12,11151,2791
2020-11-13,11161,2791
2020-11-15,11182,2791
2020-11-16,11207,2791
2020-11-17,11227,2795
2020-11-18,11266,2798
2020-11-19,11272,2798
2020-11-21,11273,2798
2020-11-22,11276,2798
2020-11-23,11284,2798
2020-11-24,11292,2800
2020-11-25,11376,2807
2020-11-26,11377,2807
2020-11-27,11383,2809
2020-11-28,11393,2811
2020-11-29,11397,2811
2020-11-30,11414,2811
2020-12-01,11434,2813
2020-12-02,11459,2814
2020-12-03,11499,2815
2020-12-04,11559,2815
2020-12-05,11561,2815
2020-12-07,11563,2817
2020-12-08,11571,2817
2020-12-09,11584,2823
2020-12-10,11593,2825
2020-12-11,11634,2828
2020-12-12,11644,2829
2020-12-13,11645,2829
2020-12-14,11647,2829
2020-12-15,11685,2834
2020-12-16,11824,2852
2020-12-17,11833,2853
2020-12-18,11918,2855
2020-12-19,11937,2857
2020-12-20,11938,2859
2020-12-21,11963,2860
2020-12-22,11985,2863
2020-12-23,11989,2863
2020-12-24,11997,2863
2020-12-25,12005,2863
2020-12-26,12007,2865
2020-12-27,12013,2865
2020-12-28,12017,2866
2020-12-29,12019,2866
2020-12-30,12051,2868
2020-12-31,12059,2872
2021-01-01,12084,2872
2021-01-02,12094,2875
2021-01-03,12097,2877
2021-01-04,12116,2883
2021-01-05,12162,2887
2021-01-06,12174,2891
2021-01-07,12256,2892
2021-01-08,12309,2893
2021-01-09,12371,2896
2021-01-10,12377,2896
2021-01-11,12385,2899
2021-01-12,12393,2902
2021-01-13,12465,2909
2021-01-14,12474,2910
2021-01-15,12519,2919
2021-01-16,12521,2920
2021-01-17,12531,2921
2021-01-18,12543,2922
2021-01-19,12547,2926
2021-01-20,12556,2930
2021-01-21,12635,2939
2021-01-22,12679,2942
2021-01-23,12691,2943
2021-01-24,12696,2946
2021-01-25,12701,2947
2021-01-26,12707,2948
2021-01-27,12721,2948
2021-01-28,12725,2949
2021-01-29,12730,2950
2021-01-31,12731,2951
2021-02-01,12776,2952
2021-02-02,12782,2952
2021-02-04,12790,2952
2021-02-05,12861,2954
2021-02-06,12865,2954
2021-02-07,12876,2956
2021-02-08,12878,2957
2021-02-09,12884,2960
2021-02-10,12898,2962
2021-02-11,12941,2962
2021-02-12,12947,2967
2021-02-13,12949,2968
2021-02-14,12950,2969
2021-02-15,12955,2971
